topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,issue_id
0.0009009009009011024,0.0009009009009011024,0.0009009009009011024,0.0009009009009011024,0.0009009009009011024,0.0009009009009011024,0.624535667098251,0.0009009009009011024,0.0009009009009011024,0.3682571256945402,MAPREDUCE-6666
0.00039840637450207114,0.00039840637450207114,0.00039840637450207114,0.45546766576231107,0.00039840637450207114,0.3506228346343485,0.00039840637450207114,0.00039840637450207114,0.19112065498182576,0.00039840637450207114,MAPREDUCE-6653
0.1275160804623693,0.2061748904340403,0.10532666186031657,0.00034364261168396646,0.5589205115731699,0.00034364261168396646,0.00034364261168396646,0.00034364261168396646,0.00034364261168396646,0.00034364261168396646,MAPREDUCE-6638
0.00017513134851142903,0.00017513134851142903,0.00017513134851142903,0.4771280207702417,0.5214709284416669,0.00017513134851142903,0.00017513134851142903,0.00017513134851142903,0.00017513134851142903,0.00017513134851142903,MAPREDUCE-6631
0.00038314176245222753,0.00038314176245222753,0.00038314176245222753,0.4826637299720052,0.00038314176245222753,0.00038314176245222753,0.00038314176245222753,0.5142711359283769,0.00038314176245222753,0.00038314176245222753,MAPREDUCE-6608
0.0001406469760900455,0.0001406469760900455,0.45681581982407304,0.2882169489285801,0.0001406469760900455,0.13607126073560313,0.0001406469760900455,0.0001406469760900455,0.0001406469760900455,0.1180520886552035,MAPREDUCE-6598
0.000321543408360155,0.000321543408360155,0.000321543408360155,0.000321543408360155,0.000321543408360155,0.000321543408360155,0.000321543408360155,0.000321543408360155,0.000321543408360155,0.9971061093247586,MAPREDUCE-6578
0.0001406469760900387,0.0001406469760900387,0.0001406469760900387,0.0001406469760900387,0.2711461348465866,0.0001406469760900387,0.2379805053753174,0.0001406469760900387,0.0001406469760900387,0.4898888309454656,MAPREDUCE-6572
0.00024330900243314007,0.1928753387856356,0.00024330900243314007,0.00024330900243314007,0.4478975591703872,0.00024330900243314007,0.00024330900243314007,0.08725384921942168,0.00024330900243314007,0.2705133988099567,MAPREDUCE-6545
6.0569351907944566e-05,6.0569351907944566e-05,6.0569351907944566e-05,6.0569351907944566e-05,6.0569351907944566e-05,6.0569351907944566e-05,6.0569351907944566e-05,0.8098896709499892,0.18962577423474739,6.0569351907944566e-05,MAPREDUCE-6531
0.0005847953216375097,0.0005847953216375097,0.0005847953216375097,0.0005847953216375097,0.37824815009006,0.0005847953216375097,0.0005847953216375097,0.6170734873368399,0.0005847953216375097,0.0005847953216375097,MAPREDUCE-6490
0.00010741138560689932,0.00010741138560689932,0.00010741138560689932,0.00010741138560689932,0.00010741138560689932,0.9990332975295377,0.00010741138560689932,0.00010741138560689932,0.00010741138560689932,0.00010741138560689932,MAPREDUCE-6516
0.1997931646032748,0.13775629428575686,0.0002169197396963452,0.6609321029330939,0.0002169197396963452,0.0002169197396963452,0.0002169197396963452,0.0002169197396963452,0.0002169197396963452,0.0002169197396963452,MAPREDUCE-6423
0.36853647675690915,0.0003215434083602191,0.0003215434083602191,0.0003215434083602191,0.0003215434083602191,0.0003215434083602191,0.0003215434083602191,0.0003215434083602191,0.6288911759762091,0.0003215434083602191,MAPREDUCE-6501
0.0002433090024331445,0.0002433090024331445,0.1632229735823522,0.0002433090024331445,0.8348305543981829,0.0002433090024331445,0.0002433090024331445,0.0002433090024331445,0.0002433090024331445,0.0002433090024331445,MAPREDUCE-6473
0.00019960079840321661,0.00019960079840321661,0.00019960079840321661,0.4430786104461549,0.00019960079840321661,0.00019960079840321661,0.5006315037915497,0.00019960079840321661,0.05489268017347303,0.00019960079840321661,MAPREDUCE-6466
0.00026954177897582296,0.00026954177897582296,0.5113578532728341,0.00026954177897582296,0.00026954177897582296,0.00026954177897582296,0.00026954177897582296,0.4864858124953594,0.00026954177897582296,0.00026954177897582296,MAPREDUCE-6461
0.0001314060446780766,0.0001314060446780766,0.0001314060446780766,0.998817345597897,0.0001314060446780766,0.0001314060446780766,0.0001314060446780766,0.0001314060446780766,0.0001314060446780766,0.0001314060446780766,MAPREDUCE-6453
0.16094285419445148,0.4880154735252293,0.00026246719160112543,0.00026246719160112543,0.00026246719160112543,0.00026246719160112543,0.00026246719160112543,0.00026246719160112543,0.34920440193911134,0.00026246719160112543,MAPREDUCE-6444
0.5212832179032515,0.00030211480362545576,0.00030211480362545576,0.00030211480362545576,0.00030211480362545576,0.00030211480362545576,0.00030211480362545576,0.00030211480362545576,0.00030211480362545576,0.47629986366774485,MAPREDUCE-6390
0.00039840637450206013,0.00039840637450206013,0.5003254890904386,0.00039840637450206013,0.00039840637450206013,0.00039840637450206013,0.00039840637450206013,0.4964872599135447,0.00039840637450206013,0.00039840637450206013,MAPREDUCE-6370
0.00020790020790023494,0.03751514039339309,0.13112003006312553,0.8299095280881799,0.00020790020790023494,0.00020790020790023494,0.00020790020790023494,0.00020790020790023494,0.00020790020790023494,0.00020790020790023494,MAPREDUCE-6332
0.17329518154051315,0.0006211180124225402,0.47440793267914044,0.0006211180124225402,0.18332258649289063,0.0006211180124225402,0.16524759121292035,0.0006211180124225402,0.0006211180124225402,0.0006211180124225402,MAPREDUCE-6327
6.798096532971925e-05,6.798096532971925e-05,6.798096532971925e-05,6.798096532971925e-05,6.798096532971925e-05,6.798096532971925e-05,0.9993881713120327,6.798096532971925e-05,6.798096532971925e-05,6.798096532971925e-05,MAPREDUCE-6283
7.806401249025688e-05,7.806401249025688e-05,7.806401249025688e-05,7.806401249025688e-05,7.806401249025688e-05,7.806401249025688e-05,0.859192790566143,7.806401249025688e-05,7.806401249025688e-05,0.14018269733393499,MAPREDUCE-6258
0.00016920473773268468,0.5776811881621855,0.00016920473773268468,0.00016920473773268468,0.00016920473773268468,0.00016920473773268468,0.420965173935953,0.00016920473773268468,0.00016920473773268468,0.00016920473773268468,MAPREDUCE-6251
0.25021853794363375,0.0002036659877800889,0.0002036659877800889,0.2673895603505099,0.0002036659877800889,0.0002036659877800889,0.417179291781744,0.06399061399743201,0.0002036659877800889,0.0002036659877800889,MAPREDUCE-6219
